Wavelength (nm),500ppb_500ms
394.20,230.62
394.34,223.62
394.47,222.62
394.61,214.62
394.75,211.62
394.89,217.62
395.03,226.62
395.16,219.63
395.30,223.63
395.44,218.63
395.58,214.63
395.72,212.63
395.85,212.63
395.99,204.64
396.13,201.64
396.27,206.64
396.41,208.64
396.54,200.64
396.68,206.64
396.82,205.65
396.96,195.65
397.10,188.65
397.23,194.65
397.37,195.65
397.51,190.65
397.65,190.65
397.79,199.66
397.92,202.66
398.06,202.66
398.20,203.66
398.34,200.66
398.48,188.66
398.62,187.66
398.75,188.67
398.89,190.67
399.03,187.67
399.17,186.67
399.31,183.67
399.44,184.67
399.58,198.68
399.72,185.68
399.86,183.68
400.00,195.68
400.14,191.68
400.27,178.68
400.41,178.68
400.55,180.69
400.69,177.69
400.83,191.69
400.97,188.69
401.10,164.69
401.24,159.69
401.38,170.69
401.52,172.70
401.66,169.70
401.80,174.70
401.93,183.70
402.07,171.70
402.21,178.70
402.35,171.70
402.49,163.71
402.63,168.71
402.76,176.71
402.90,162.71
403.04,157.71
403.18,159.71
403.32,161.71
403.46,166.72
403.59,167.72
403.73,167.72
403.87,168.72
404.01,152.72
404.15,147.72
404.29,151.72
404.43,156.73
404.56,163.73
404.70,166.73
404.84,155.73
404.98,157.73
405.12,157.73
405.26,159.73
405.39,170.74
405.53,162.74
405.67,149.74
405.81,152.74
405.95,157.74
406.09,156.74
406.23,150.74
406.36,149.75
406.50,155.75
406.64,146.75
406.78,137.75
406.92,140.75
407.06,142.75
407.20,142.75
407.33,140.75
407.47,138.76
407.61,144.76
407.75,140.76
407.89,140.76
408.03,144.76
408.17,148.76
408.31,148.76
408.44,140.77
408.58,138.77
408.72,142.77
408.86,138.77
409.00,135.77
409.14,134.77
409.28,123.77
409.41,126.77
409.55,141.78
409.69,141.78
409.83,134.78
409.97,130.78
410.11,132.78
410.25,133.78
410.39,125.78
410.53,121.79
410.66,133.79
410.80,137.79
410.94,125.79
411.08,132.79
411.22,133.79
411.36,121.79
411.50,121.79
411.64,125.80
411.77,120.80
411.91,128.80
412.05,131.80
412.19,119.80
412.33,122.80
412.47,114.80
412.61,121.80
412.75,121.81
412.89,118.81
413.02,128.81
413.16,127.81
413.30,113.81
413.44,107.81
413.58,101.81
413.72,104.81
413.86,114.82
414.00,116.82
414.14,110.82
414.28,110.82
414.41,119.82
414.55,115.82
414.69,108.82
414.83,97.82
414.97,97.83
415.11,106.83
415.25,107.83
415.39,102.83
415.53,112.83
415.67,113.83
415.80,101.83
415.94,95.83
416.08,103.84
416.22,99.84
416.36,102.84
416.50,97.84
416.64,86.84
416.78,93.84
416.92,100.84
417.06,95.84
417.20,106.85
417.33,102.85
417.47,100.85
417.61,106.85
417.75,105.85
417.89,91.85
418.03,92.85
418.17,90.85
418.31,93.86
418.45,97.86
418.59,94.86
418.73,97.86
418.87,94.86
419.00,92.86
419.14,91.86
419.28,83.86
419.42,91.87
419.56,88.87
419.70,82.87
419.84,78.87
419.98,87.87
420.12,91.87
420.26,85.87
420.40,80.87
420.54,84.87
420.68,93.88
420.82,96.88
420.95,88.88
421.09,91.88
421.23,82.88
421.37,73.88
421.51,85.88
421.65,93.88
421.79,81.88
421.93,79.89
422.07,78.89
422.21,75.89
422.35,77.89
422.49,86.89
422.63,84.89
422.77,93.89
422.91,78.89
423.05,77.90
423.18,80.90
423.32,77.90
423.46,76.90
423.60,71.90
423.74,76.90
423.88,94.90
424.02,90.90
424.16,82.90
424.30,86.91
424.44,85.91
424.58,67.91
424.72,70.91
424.86,75.91
425.00,81.91
425.14,72.91
425.28,73.91
425.42,79.91
425.56,83.92
425.70,77.92
425.84,71.92
425.98,78.92
426.11,78.92
426.25,71.92
426.39,74.92
426.53,79.92
426.67,72.92
426.81,77.93
426.95,79.93
427.09,71.93
427.23,67.93
427.37,65.93
427.51,74.93
427.65,66.93
427.79,64.93
427.93,69.93
428.07,67.94
428.21,66.94
428.35,66.94
428.49,69.94
